;Company name Latin alphabet;Inactive;Quoted;Branch;OwnData;Woco;Country ISO code;NACE Rev. 2, core code (4 digits);Consolidation code;Last avail. year;ISIN number;"Profit margin (%)
2021";"Profit margin (%)
2020";"Profit margin (%)
2019";"Profit margin (%)
2018";"Profit margin (%)
2017";"Profit margin (%)
2016";"P/L before tax
th USD 2021";"P/L before tax
th USD 2020";"P/L before tax
th USD 2019";"P/L before tax
th USD 2018";"P/L before tax
th USD 2017";P/L before tax th USD 2016;"Solvency ratio (Asset based) (%)
2021";"Solvency ratio (Asset based) (%)
2020";"Solvency ratio (Asset based) (%)
2019";"Solvency ratio (Asset based) (%)
2018";"Solvency ratio (Asset based) (%)
2017";"Solvency ratio (Asset based) (%)
2016";"Current ratio
2021";"Current ratio
2020";"Current ratio
2019";"Current ratio
2018";"Current ratio
2017";"Current ratio
2016";"Number of employees
2021";"Number of employees
2020";"Number of employees
2019";"Number of employees
2018";"Number of employees
2017";"Number of employees
2016"
1.;JBS S.A.;No;Yes;No;No;Yes;BR;1013;C1;2020;BRJBSSACNOR8;3,05;3,66;-0,60;0,70;0,26;4,84;1.590.461;1.860.450;-283.506;348.236;133.921;2.017.691;26,58;25,71;24,48;24,05;24,23;24,07;1,48;1,47;1,71;1,24;1,02;1,25;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
2.;TYSON FOODS INC.;No;Yes;No;No;Yes;US;1012;C1;2021;US9024941034;8,59;6,17;5,60;6,70;6,87;7,04;4.041.000;2.664.000;2.374.000;2.682.000;2.628.000;2.598.000;48,81;44,27;42,38;43,98;37,56;42,95;1,55;1,80;1,27;1,13;1,55;1,77;137.000;139.000;141.000;121.000;122.000;114.000
3.;DANONE;No;Yes;No;No;Yes;FR;1051;C1;2020;FR0000120644;10,53;11,33;9,68;13,15;11,94;8,59;3.053.023;3.220.787;2.739.986;3.948.094;2.772.282;2.095.747;38,10;38,31;37,29;32,83;30,02;38,73;1,03;0,90;1,04;0,92;2,11;0,87;101.911;102.449;105.783;104.843;99.187;99.771
4.;MONDELEZ INTERNATIONAL, INC.;No;Yes;No;No;Yes;US;1051;C1;2020;US6092071058;12,73;13,33;10,96;12,06;5,61;26,60;3.383.000;3.447.000;2.842.000;3.124.000;1.454.000;7.884.000;40,67;42,22;40,87;41,29;40,89;44,58;0,66;0,50;0,45;0,48;0,59;0,82;79.000;80.000;80.000;83.000;90.000;99.000
5.;WH GROUP LIMITED;No;Yes;No;No;No;KY;4632;C1;2020;KYG960071028;5,13;8,50;6,22;6,68;7,87;6,11;1.315.000;2.052.000;1.411.000;1.501.000;1.703.000;1.302.000;58,70;54,69;55,03;53,89;51,71;46,87;1,93;1,73;1,64;1,62;1,46;1,82;107;101.000;112;110;104;105
6.;INNER MONGOLIA YILI INDUSTRIAL GROUP CO.,LTD.;No;Yes;No;No;Yes;CN;1051;C1;2020;CNE000000JP5;8,40;9,08;9,50;10,35;11,02;9,19;1.247.127;1.172.764;1.105.739;1.086.365;954.282;850.887;42,91;43,46;58,89;51,20;59,18;50,83;0,82;0,82;1,28;1,25;1,36;1,09;27.418;59.052;56.079;53.531;54.983;57.971
7.;PILGRIM'S PRIDE CORPORATION;No;Yes;No;No;No;US;1012;C1;2020;US72147K1088;1,34;5,41;3,04;9,12;7,33;12,14;161.825;617.545;332.227;982.066;724.036;992.758;34,30;35,56;33,89;29,55;41,38;37,94;1,50;1,58;1,72;1,73;1,53;2,06;56.400;58.500;52.100;51.300;39.600;39.000
8.;CHINA MENGNIU DAIRY COMPANY LIMITED;No;Yes;No;No;Yes;KY;1051;C1;2020;KYG210961051;5,41;7,04;5,53;4,34;-0,85;6,12;635.784;802.268;562.195;403.121;-66.388;466.790;46,47;42,46;45,84;46,63;51,92;52,55;1,21;1,18;1,18;1,15;1,30;1,40;40.626;37.894;41.031;41.141;41.613;39.683
9.;WENS FOODSTUFF GROUP CO., LTD.;No;Yes;No;No;Yes;CN;4632;C1;2020;CNE100002508;10,62;20,20;7,48;12,74;20,85;13,87;1.219.844;2.115.419;625.088;1.089.163;1.779.744;1.030.468;59,12;71,10;65,94;68,05;75,73;70,35;1,37;1,88;1,64;1,63;1,88;1,66;52.809;50.024;48.639;50.574;49.314;44.039
10.;HORMEL FOODS CORP;No;Yes;No;No;No;US;1011;C1;2021;US4404521001;9,89;11,60;12,74;12,38;13,95;13,83;1.126.170;1.114.747;1.209.715;1.181.284;1.278.645;1.317.215;54,92;64,85;73,02;68,79;70,76;69,83;2,08;2,38;2,14;1,80;1,92;1,93;20.000;19.100;18.800;20.100;20.200;21.100
11.;SAPUTO INC;No;Yes;No;No;Yes;CA;1051;C1;2020;CA8029121057;5,90;5,35;7,30;8,23;9,32;7,92;670.696;563.403;737.559;736.699;781.593;671.421;49,11;47,55;54,83;59,95;56,91;56,74;1,84;1,63;1,62;1,87;2,00;1,60;17.300;17.200;16.800;15.000;n.a.;12.500
12.;HENAN SHUANGHUI INVESTMENT & DEVELOPMENT CO.,LTD.;No;Yes;No;No;Yes;CN;1011;C1;2020;CNE000000XM3;10,81;11,35;12,85;11,45;11,38;12,75;1.220.058;978.745;916.328;884.450;843.477;874.244;69,54;59,77;59,94;66,99;70,57;77,29;2,21;1,45;1,15;1,35;1,14;1,74;44.833;43.245;54.046;53.548;50.431;51.227
13.;MEIJI HOLDINGS CO LTD;No;Yes;No;No;Yes;JP;1051;C2;2020;JP3918000005;8,66;7,80;7,54;7,34;7,18;7,78;932.096;899.236;852.741;857.698;796.002;845.334;61,80;59,84;55,83;53,39;51,73;48,96;1,68;1,63;1,45;1,33;1,20;1,31;17.832;17.571;17.608;16.296;16.726;16.456
14.;NH FOODS LTD;No;Yes;No;No;Yes;JP;1013;C2;2020;JP3743000006;4,15;2,20;2,45;4,20;4,09;2,59;441.500;248.749;272.872;497.203;438.304;285.350;53,83;54,18;54,68;57,57;56,69;52,92;1,60;1,66;1,53;1,56;1,74;1,79;17.168;17.339;17.444;17.359;n.a.;16.488
15.;MUYUAN FOODS CO., LTD.;No;Yes;No;No;Yes;CN;0146;C1;2020;CNE100001RQ3;53,24;30,59;3,83;23,14;41,47;19,84;4.647.739;904.444;76.771;363.284;334.096;91.789;53,91;59,96;45,93;52,97;43,78;49,83;0,89;1,08;0,72;1,05;0,72;0,87;121.995;50.319;29.978;27.003;17.214;5.832
16.;BRF S.A.;No;Yes;No;No;Yes;BR;1012;C1;2020;BRBRFSACNOR8;2,87;0,16;-6,29;-3,98;-0,93;8,32;220.896;14.523;-566.744;-406.815;-97.432;702.048;17,75;19,54;17,77;25,90;28,45;34,26;1,48;1,13;1,31;1,29;1,50;1,65;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
17.;SANDERSON FARMS INC;No;Yes;No;No;Yes;US;1012;C1;2021;US8000131040;12,43;-0,46;1,86;0,94;12,70;10,39;596.376;-16.311;63.847;30.557;424.530;292.677;78,90;76,76;79,91;83,64;82,67;83,66;3,52;2,58;2,69;2,85;4,28;4,14;2.021;1.980;1.947;1.995;1.815;1.673
18.;GLANBIA PLC;No;Yes;No;No;Yes;IE;1051;C1;2020;IE0000669501;4,03;5,14;8,42;8,26;8,87;7,88;189.096;223.669;305.486;272.001;266.371;238.094;52,58;50,04;50,29;55,65;45,30;40,10;1,20;1,23;1,78;2,01;1,65;1,73;4.531;4.542;4.157;3.975;3.653;4.630
19.;MOWI ASA;No;Yes;No;No;Yes;NO;0321;C1;2020;NO0003054108;3,21;14,67;19,21;13,87;21,63;8,04;147.988;682.353;838.369;626.754;800.272;272.284;47,28;49,53;55,96;53,47;43,02;45,17;3,40;3,39;3,70;2,71;3,03;3,34;14.645;14.866;14.537;13.233;12.717;12.454
20.;BELL FOOD GROUP AG;No;Yes;No;No;Yes;CH;1011;C2;2020;CH0315966322;3,66;1,97;3,15;4,36;4,08;4,31;166.704;81.801;129.684;158.105;134.449;120.787;49,73;47,47;47,46;37,47;45,72;52,16;2,51;2,42;2,76;1,26;2,80;2,72;11.744;11.960;12.058;10.578;9.781;8.148
21.;THAI UNION GROUP PCL;No;Yes;No;No;Yes;TH;1020;C1;2020;TH0450010Y08;5,47;3,49;3,34;4,70;4,96;5,76;242.334;146.748;138.327;197.813;187.399;200.900;38,55;36,50;32,76;32,97;33,32;43,62;1,37;1,66;1,36;1,71;1,01;1,47;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
22.;ALMARAI COMPANY (SAUDI JOINT STOCK COMPANY);No;Yes;No;No;Yes;SA;0141;C1;2020;SA000A0ETHT1;12,34;12,48;14,01;14,88;14,65;13,10;540.762;512.658;554.059;587.255;575.238;497.172;50,19;46,03;44,92;46,66;46,37;46,10;1,56;1,28;1,31;1,18;1,11;1,28;36.869;37.447;42.971;37.967;42.000;n.a.
23.;EMMI AG;No;Yes;No;No;Yes;CH;1051;C1;2020;CH0012829898;6,53;6,00;8,34;5,91;5,89;5,22;274.917;216.895;293.054;204.094;188.971;169.204;52,76;62,25;58,73;56,40;57,86;54,63;2,12;2,31;2,16;2,04;1,69;2,23;8.664;7.826;6.151;6.147;5.779;5.405
24.;GRUPO LALA, S.A.B. DE C.V.;No;Yes;No;No;No;MX;1051;C1;2020;MX01LA040003;1,64;3,53;3,87;8,76;10,32;11,99;66.638;143.853;150.234;279.693;267.133;336.462;23,57;30,50;33,75;38,95;70,99;74,38;0,98;1,05;1,16;0,56;1,61;2,70;n.a.;n.a.;n.a.;33.955;n.a.;n.a.
25.;JAPFA LTD;No;Yes;No;No;No;SG;0147;C1;2020;SG1AB9000005;10,46;6,34;6,88;3,36;8,40;4,02;422.403;247.074;243.595;107.517;254.626;111.925;53,49;38,87;39,12;37,29;43,13;45,59;1,86;1,35;1,51;1,27;1,95;1,72;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
26.;HILTON FOOD GROUP PLC;No;Yes;No;No;No;GB;4632;C1;2020;GB00B1V9NW54;1,95;2,38;2,63;2,52;2,69;2,55;72.506;56.627;55.012;46.219;40.854;41.416;21,03;21,20;31,41;37,79;33,11;27,79;1,15;1,05;1,23;1,20;1,17;1,12;5.466;5.000;4.774;3.725;2.953;2.912
27.;INDUSTRIAS BACHOCO S.A.B. DE C.V.;No;Yes;No;No;Yes;MX;1012;C1;2020;MX01BA1D0003;7,43;6,93;7,40;10,39;10,54;11,74;259.852;231.242;229.466;305.199;269.861;319.651;75,12;72,28;72,19;70,57;70,34;68,68;3,98;3,49;3,28;3,06;3,24;3,72;n.a.;n.a.;27.597;27.397;25.725;n.a.
28.;YAKULT HONSHA CO.,LTD.;No;Yes;No;No;Yes;JP;1051;C2;2020;JP3931600005;15,38;14,47;13,71;13,32;12,87;12,74;536.007;540.276;503.074;503.635;434.458;441.632;69,24;65,63;63,42;61,26;64,34;63,28;2,85;2,44;2,15;1,55;2,00;1,99;28.798;28.395;27.279;25.993;24.636;23.192
29.;PREMIUM BRANDS HOLDINGS CORPORATION;No;Yes;No;No;No;CA;1011;C1;2020;CA74061A1084;2,72;3,03;3,88;4,87;5,10;3,20;86.030;84.693;86.137;85.002;70.678;34.643;45,12;36,47;33,62;34,10;38,03;37,40;2,48;1,73;1,71;1,74;2,01;2,01;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
30.;FORFARMERS N.V.;No;Yes;No;No;No;NL;0149;C1;2020;NL0011832811;1,28;1,12;3,09;3,40;3,22;2,94;37.099;31.023;85.250;90.585;71.806;72.038;44,39;48,34;50,45;52,07;55,26;52,07;1,21;1,18;1,39;1,69;2,05;1,92;2.502;2.570;2.654;2.325;2.273;2.370
31.;AUSTEVOLL SEAFOOD ASA;No;Yes;No;No;No;NO;0311;C1;2020;NO0010073489;4,58;11,82;22,94;10,58;24,76;10,32;120.399;313.895;597.468;267.966;543.271;178.434;57,85;58,58;59,16;54,30;52,04;52,76;2,49;2,76;3,04;2,63;2,65;2,61;6.342;6.409;6.490;6.229;4.710;4.026
32.;CRANSWICK PLC;No;Yes;No;No;Yes;GB;1013;C1;2020;GB0002318888;6,05;6,24;6,02;6,01;6,52;5,49;158.011;128.549;113.363;123.741;102.605;84.504;65,85;61,73;74,51;73,68;68,98;72,15;1,66;1,66;1,72;1,62;1,50;1,49;9.005;7.464;6.988;6.338;5.614;5.002
33.;CONG TY CO PHAN SUA VIET NAM;No;Yes;No;No;Yes;VN;4633;C1;2020;VN000000VNM8;22,67;22,72;22,93;23,96;24,02;23,37;584.434;552.611;528.004;545.326;507.136;427.919;69,47;66,51;70,31;68,86;76,27;76,15;2,09;1,71;1,93;1,99;2,89;2,79;9.361;9.803;8.082;7.845;6.981;6.661
34.;LEROY SEAFOOD GROUP ASA;No;Yes;No;No;No;NO;1020;C1;2020;NO0003096208;4,94;11,58;22,43;11,24;25,74;11,16;115.696;269.417;511.963;254.990;515.698;170.387;58,46;58,84;60,39;56,44;53,73;54,83;2,68;2,81;2,99;2,98;2,91;2,54;4.912;4.361;4.589;4.298;3.783;2.527
35.;HKSCAN OYJ;No;Yes;No;No;Yes;FI;1011;C1;2020;FI0009006308;0,69;-1,96;-3,39;-2,71;0,04;0,11;15.093;-38.645;-66.754;-59.006;843;2.395;33,72;34,75;35,05;36,84;47,93;50,85;0,88;1,00;0,94;0,96;0,89;1,01;6.987;6.928;7.179;7.292;7.319;7.437
36.;BEIJING SHUNXIN AGRICULTURE CO.LTD;No;Yes;No;No;Yes;CN;1011;C1;2020;CNE000000XH3;5,01;8,98;10,12;6,10;5,49;6,55;107.289;169.561;154.592;97.836;78.362;86.280;35,86;33,88;38,93;38,71;38,25;34,03;1,54;1,46;1,75;1,69;1,70;1,63;4.842;4.825;5.063;5.252;6.016;6.396
37.;FUJIAN SUNNER DEVELOPMENT COMPANY LIMITED;No;Yes;No;No;No;CN;1012;C1;2020;CNE100000G78;15,37;28,81;13,81;3,35;8,84;-7,20;324.013;600.674;233.203;52.394;116.314;-76.944;63,78;69,10;55,22;49,55;53,08;50,90;0,66;0,94;0,68;0,47;0,51;0,47;23.447;22.314;22.507;22.280;20.001;21.009
38.;INGHAMS GROUP LIMITED;No;Yes;No;No;Yes;AU;4632;C1;2021;AU000000ING6;4,23;2,20;7,19;6,38;3,18;1,41;84.953;38.501;123.866;111.900;59.382;24.137;6,43;5,02;15,21;22,88;20,17;-0,13;1,00;1,03;1,41;1,78;1,95;1,56;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
39.;CHINA YURUN FOOD GROUP LIMITED;No;Yes;No;No;No;BM;1011;C1;2020;BMG211591018;-12,96;-25,61;-37,24;-15,65;-13,99;-14,48;-256.385;-504.728;-608.526;-243.802;-303.461;-380.278;-35,44;-13,60;20,66;41,27;48,63;54,78;0,27;0,31;0,28;0,27;0,40;0,49;10.400;9.400;10.000;11.000;12.000;16.000
40.;ATRIA OYJ;No;Yes;No;No;No;FI;1011;C1;2020;FI0009006548;2,47;1,80;1,55;2,47;1,93;1,50;45.718;29.414;25.580;42.592;27.537;21.923;46,71;46,76;47,60;47,34;46,42;47,33;0,83;0,83;0,83;0,72;0,86;0,81;4.444;4.454;4.460;4.449;4.315;4.271
41.;BRITANNIA INDUSTRIES LIMITED;No;Yes;No;No;Yes;IN;1051;C1;2020;INE216A01022;19,17;15,93;16,02;15,35;14,46;14,53;341.966;244.648;255.587;233.408;201.158;183.990;44,75;56,60;68,67;65,91;65,69;59,94;1,22;1,43;1,91;1,91;1,74;1,30;4.499;4.535;n.a.;3.794;3.206;3.027
42.;KAP INDUSTRIAL HOLDINGS LIMITED;No;Yes;No;No;Yes;ZA;1011;C1;2021;ZAE000171963;6,22;-11,73;6,22;8,85;9,20;10,09;105.791;-151.077;113.759;151.912;143.694;113.366;41,15;40,11;46,41;43,77;42,06;46,79;1,17;1,08;1,26;1,46;1,44;1,50;19.063;18.500;19.579;20.163;19.729;n.a.
43.;RCL FOODS LIMITED;No;Yes;No;No;Yes;ZA;1012;C1;2020;ZAE000179438;-3,89;-0,67;4,38;2,35;0,39;5,17;-64.308;-12.569;79.730;46.076;6.745;102.721;43,68;53,09;53,26;53,24;49,66;51,36;1,43;1,61;1,45;1,73;1,71;1,69;20.823;21.046;20.581;20.111;21.072;20.479
44.;TECH-BANK FOOD CO. , LTD.;No;Yes;No;No;Yes;CN;0146;C1;2020;CNE100000056;30,18;2,10;-12,09;9,06;16,23;5,88;497.625;18.112;-80.040;42.551;55.225;19.378;56,75;38,47;38,48;68,60;57,20;57,21;1,14;0,54;0,67;1,22;0,93;1,06;9.437;5.338;4.397;3.752;2.937;2.041
45.;BEGA CHEESE LIMITED;No;Yes;No;No;Yes;AU;1051;C1;2021;AU000000BGA8;4,62;2,06;0,59;4,04;14,03;3,32;73.225;21.275;5.795;37.608;152.331;29.630;50,71;57,19;54,29;51,98;54,22;55,88;1,22;1,34;1,52;1,69;3,07;1,66;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
46.;SALMAR ASA;No;Yes;No;No;No;NO;0321;C1;2020;NO0010310956;19,92;25,81;39,26;26,40;37,01;18,89;301.482;359.723;512.378;347.893;387.712;157.059;49,95;54,15;60,39;59,32;49,85;47,76;1,67;2,31;2,02;1,94;2,30;2,89;1.763;1.702;1.479;1.427;1.357;1.182
47.;CAL MAINE FOODS INC;No;Yes;No;No;Yes;US;0147;C1;2021;US1280302027;-0,74;1,48;5,20;7,81;-10,64;25,53;-9.949;20.059;70.805;117.337;-114.294;487.249;82,40;83,67;85,33;82,87;81,57;82,33;5,77;5,61;7,58;5,45;6,74;7,51;3.286;3.636;3.490;3.573;3.578;3.277
48.;SCANDI STANDARD AB;No;Yes;No;No;Yes;SE;0147;C1;2020;SE0005999760;2,61;3,15;2,68;3,13;2,78;3,95;31.796;33.551;26.462;27.242;18.417;25.531;29,38;27,76;29,06;28,23;27,80;29,42;1,14;1,12;1,31;1,44;1,31;1,50;3.220;3.266;3.005;2.264;1.680;1.670
49.;STANDARD FOODS CORPORATION;No;Yes;No;No;Yes;TW;1051;C2;2020;TW0001227007;12,43;14,54;13,44;10,36;12,10;13,31;150.439;151.084;119.618;91.979;101.608;103.118;64,75;66,50;66,84;66,16;66,08;65,78;2,36;2,41;2,28;2,17;2,20;2,39;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
50.;CRESUD SOCIEDAD ANONIMA COMERCIAL, INMOBILIARIA, FINANCIERA Y AGROPECUARIA;No;Yes;No;No;Yes;AR;0142;C2;2021;ARP331091024;6,38;16,83;-27,11;15,35;8,95;-7,17;67.036;399.531;-631.374;638.299;477.892;-177.933;31,22;17,78;17,52;21,29;20,37;9,18;0,99;1,34;1,71;1,80;1,34;0,99;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
51.;GRIEG SEAFOOD ASA;No;Yes;No;No;No;NO;1020;C1;2020;NO0010365521;-7,10;10,12;16,91;11,34;23,64;-0,20;-70.417;95.743;146.942;97.257;181.071;-1.045;41,04;46,35;47,69;46,81;47,38;37,70;3,40;2,72;2,58;2,44;2,50;2,34;735;955;819;781;664;684
52.;SYNLAIT MILK LIMITED;No;Yes;No;No;No;NZ;1051;C1;2021;NZSMLE0001S9;-2,86;7,73;11,23;11,80;7,29;8,84;-27.411;67.448;75.920;70.831;41.645;34.403;47,41;40,58;42,89;53,52;51,52;43,50;1,46;1,00;0,76;1,01;1,11;1,24;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
53.;MEDIFAST, INC.;No;Yes;No;No;Yes;US;1051;C1;2020;US58470H1014;14,36;12,94;14,08;13,37;9,88;10,88;134.265;92.363;70.548;40.326;27.122;29.671;56,96;53,86;64,40;74,41;79,21;76,29;2,10;1,94;2,41;3,37;4,15;3,69;713;550;420;399;422;425
54.;CHINA MODERN DAIRY HOLDINGS LIMITED;No;Yes;No;No;No;KY;0141;C1;2020;KYG215791008;12,88;6,31;-10,09;-20,61;-15,97;7,33;120.033;50.152;-73.787;-152.785;-112.952;54.746;51,63;45,84;41,10;42,40;40,00;45,41;0,62;0,45;0,40;0,46;0,45;0,41;4.455;5.053;4.735;5.097;6.051;5.277
55.;THE A2 MILK COMPANY LIMITED;No;Yes;No;No;No;NZ;0141;C1;2021;NZATME0002S8;9,88;31,81;31,87;30,70;25,36;14,83;83.460;354.114;278.272;190.921;102.089;37.134;79,01;78,03;79,30;77,59;70,21;63,33;3,99;3,70;3,29;3,12;2,52;2,38;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
56.;HIGH LINER FOODS INCORPORATED;No;Yes;No;No;No;CA;1020;C1;2020;CA4296951094;4,43;1,54;2,18;1,66;4,17;3,63;36.672;14.524;22.866;17.538;39.809;36.310;37,47;32,68;31,52;29,61;32,14;28,93;2,31;1,87;1,95;1,76;2,47;2,30;1.124;1.167;1.259;1.362;1.293;n.a.
57.;P/F BAKKAFROST;No;Yes;No;No;No;DK;1020;C1;2020;FO0000000179;13,33;21,77;36,89;16,55;50,81;32,39;103.339;147.084;179.781;100.502;231.485;135.354;66,09;64,86;70,26;70,34;65,50;65,82;5,17;4,79;6,35;2,30;7,22;4,74;1.699;1.553;1.073;960;820;725
58.;ORIOR AG;No;Yes;No;No;Yes;CH;1013;C2;2020;CH0111677362;3,79;5,81;5,86;4,80;6,42;6,26;26.081;35.838;34.349;26.568;33.343;31.589;18,06;21,38;22,47;24,86;44,26;58,64;1,68;1,66;2,07;2,18;2,23;2,41;2.028;2.295;1.630;1.574;1.618;1.228
59.;NORWAY ROYAL SALMON ASA;No;Yes;No;No;No;NO;0321;C1;2020;NO0010331838;1,43;8,50;17,12;6,53;27,75;8,41;8.555;54.075;100.096;39.293;136.012;30.656;53,84;71,72;56,73;48,01;55,13;41,34;1,90;2,87;2,35;1,76;2,20;2,34;217;176;188;172;149;132
60.;GFPT PCL;No;Yes;No;No;Yes;TH;1012;C1;2020;TH0297010Z02;10,45;8,52;7,68;11,47;10,97;7,15;51.969;48.446;40.083;60.502;51.971;33.073;72,07;72,34;70,20;70,03;66,70;63,06;2,28;2,95;1,93;1,81;1,54;1,63;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
61.;OCEANA GROUP LIMITED;No;Yes;No;No;Yes;ZA;0311;C1;2020;ZAE000025284;13,79;11,73;11,52;9,80;16,58;15,06;68.029;58.979;62.258;49.409;98.402;66.915;49,54;47,42;44,13;37,41;36,08;32,96;1,93;2,04;1,86;1,50;2,21;2,05;2.886;1.960;2.078;2.062;2.053;2.319
62.;TASSAL GROUP LIMITED;No;Yes;No;No;Yes;AU;0321;C1;2021;AU000000TGR4;7,92;16,80;14,38;15,25;17,73;15,24;36.132;66.271;56.704;58.622;65.810;51.173;48,60;52,09;58,50;61,40;62,35;53,98;4,16;3,44;4,03;3,53;3,27;3,00;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
63.;AUSTRALIAN AGRICULTURAL COMPANY LIMITED;No;Yes;No;No;No;AU;0142;C1;2020;AU000000AAC9;13,39;7,55;-49,45;-26,65;12,82;12,54;50.209;29.102;-148.725;-111.438;73.611;74.336;65,88;63,63;65,57;67,17;65,85;64,07;7,94;5,84;5,37;9,48;7,95;6,25;n.a.;n.a.;n.a.;n.a.;n.a.;592
64.;BRIM HF.;No;Yes;No;No;Yes;IS;0311;C1;2020;IS0000000297;12,45;16,01;19,41;12,90;15,63;22,90;44.677;48.766;49.355;35.257;33.140;57.794;44,11;45,29;41,90;51,63;55,57;62,18;1,15;2,44;0,91;1,20;1,05;1,90;769;798;773;839;859;880
65.;SANFORD LIMITED;No;Yes;No;No;Yes;NZ;0321;C1;2021;NZSANE0001S0;3,95;5,49;10,64;11,33;10,66;10,52;13.772;17.544;37.237;39.672;37.298;35.730;67,43;65,59;71,62;71,90;70,23;69,96;1,76;1,60;1,44;1,56;1,22;1,56;1.409;1.387;1.597;1.705;1.717;n.a.
66.;AUSTRAL GROUP S.A.A.;No;Yes;No;No;Yes;PE;1020;C1;2020;PEP216501002;1,32;5,28;22,65;-5,15;-5,55;1,48;1.690;10.138;44.386;-7.764;-6.946;1.909;48,46;49,14;51,71;48,14;45,59;48,52;1,64;0,99;1,81;0,76;0,99;1,61;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
67.;LIFEWAY FOODS INC;No;Yes;No;No;Yes;US;1051;C1;2020;US5319141090;4,73;1,32;-3,20;-0,68;4,55;3,37;4.828;1.235;-3.311;-804;5.637;3.992;78,00;75,90;74,65;72,21;74,16;69,71;2,85;2,02;2,54;1,87;2,94;2,48;316;307;322;340;320;370
68.;PINGTAN MARINE ENTERPRISE LIMITED;No;Yes;No;No;No;KY;0311;C1;2020;KYG7114V1023;-76,93;6,64;20,34;38,09;-71,45;32,22;-77.619;6.380;14.813;32.520;-14.676;19.558;18,34;38,37;61,37;73,34;61,69;71,95;0,86;0,73;0,21;0,57;0,94;2,17;1.998;2.060;876;480;373;1.650
69.;WELLARD LIMITED;No;Yes;No;No;No;AU;4632;C1;2021;AU000000WLD8;4,30;0,26;-14,96;-12,28;-14,97;-5,32;1.405;172;-29.396;-26.930;-57.327;-22.865;70,88;65,24;28,85;34,30;36,35;39,44;0,75;1,16;0,41;0,38;0,50;0,61;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
70.;EAC INVEST A/S;No;Yes;No;No;No;DK;1051;C1;2020;DK0061277894;60,00;-3,79;-23,02;3,93;-1,73;-0,27;248;-6.501;-69.387;14.871;-6.219;-1.089;97,23;93,97;15,78;39,42;37,92;40,82;16,40;7,09;0,91;1,09;1,34;1,31;3;3;1.976;2.186;2.679;2.908